goos: darwin
goarch: arm64
pkg: erl
cpu: Apple M4 Pro
BenchmarkDispatch/routes=5000/case=param/router=erl-14        	 1565608	       233.2 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=param/router=erl-14        	 1541092	       232.7 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=param/router=erl-14        	 1524262	       234.4 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=param/router=erl-14        	 1443958	       244.0 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=param/router=erl-14        	 1551598	       231.0 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=param/router=erl-14        	 1565250	       229.4 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=param/router=erl-14        	 1558635	       230.9 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=two_params/router=erl-14   	 1453368	       249.3 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=two_params/router=erl-14   	 1432591	       250.6 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=two_params/router=erl-14   	 1465226	       247.1 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=two_params/router=erl-14   	 1427916	       251.7 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=two_params/router=erl-14   	 1429174	       250.7 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=two_params/router=erl-14   	 1444252	       250.4 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=two_params/router=erl-14   	 1377003	       259.2 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=two_params/router=erl-14   	 1439934	       250.2 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=5000/case=two_params/router=erl-14   	 1418408	       253.1 ns/op	     656 B/op	       3 allocs/op
